locationid,Applicant,cnn,Address
1174531,CC Acquisition LLC,8742101,525 MARKET ST
934628,May Catering,8715000,777 MARIPOSA ST
963991,Singh Brothers Ice Cream,6671000,297 HARBOR RD
1181498,John's Catering #5,6711000,401 HARRISON ST
1163794,"SOHOMEI, LLC",9101000,1118 MISSION ST
1181516,John's Catering #5,513000,251 11TH ST
1513373,Brazuca Grill,5762000,500 FRANCISCO ST
1163791,"SOHOMEI, LLC",4083000,432 CLAY ST
963985,Singh Brothers Ice Cream,2710000,1562 BANCROFT AVE
1153604,SPUNBYSS,136000,240 02ND ST
963995,Singh Brothers Ice Cream,4938000,195 KISKA RD
1090089,Tacos El Primo,10829000,1700 EVANS AVE
963992,Singh Brothers Ice Cream,10810000,1191 QUESADA AVE
1163792,"SOHOMEI, LLC",12583000,1 THOMAS MORE WAY
1181505,John's Catering #5,10955000,180 REDWOOD ST
963980,Singh Brothers Ice Cream,6548000,2900 GRIFFITH ST
1163783,"SOHOMEI, LLC",10477000,1540 PINE ST
1199051,Munch India,3528000,400 CALIFORNIA ST
963978,Singh Brothers Ice Cream,6961000,1000 HOLLISTER AVE
1181506,John's Catering #5,9506000,400 HOWARD ST
963979,Singh Brothers Ice Cream,7252000,1173 INGERSON AVE
1181511,John's Catering #5,8845101,270 MASONIC AVE
1090091,Tacos El Primo,7480000,1495 WALLACE AVE
946047,The Huge Hotdog Concession,10567000,1300 POLK ST
1034228,Julie's Hot Dogs,9114000,1850 MISSION ST
934630,May Catering,5329000,1059 EVANS AVE
963984,Singh Brothers Ice Cream,4908000,1475 DONNER AVE
1181501,John's Catering #5,8731000,2500 MARIPOSA ST
1186400,Tres Agaves Mexican Kitchen & Tequila Lounge LLC. dba Tres Truck,711000,1700 16TH ST
934625,May Catering,0,Assessors Block 8710/Lot003
1037689,Munch A Bunch,373000,355 07TH ST
1181515,John's Catering #5,6742000,1830 HARRISON ST
1039786,Julie's Hot Dogs,9117000,2101 MISSION ST
1213203,Marengo,13456000,75 WATERLOO ST
1184867,Subs on Hubs,412000,333 08TH ST
1186399,Tres Agaves Mexican Kitchen & Tequila Lounge LLC. dba Tres Truck,10995000,301 RHODE ISLAND ST
963997,Singh Brothers Ice Cream,9602000,35 NIBBI CT
948140,Eli's Hot Dogs,7504000,101 BAY SHORE BLVD
1037695,Munch A Bunch,12728000,1345 TURK ST
963988,Singh Brothers Ice Cream,10218000,1101 PALOU AVE
1181514,John's Catering #5,7031000,300 HOWARD ST
1163784,"SOHOMEI, LLC",13064000,740 VALENCIA ST
1037690,Munch A Bunch,546000,333 12TH ST
1181509,John's Catering #5,0,50 IVY ST
1200178,SF Cart Project,15019101,535 MISSION BAY BLVD SOUTH
949952,"Santana ESG, Inc.",6754000,2598 HARRISON ST
1181503,John's Catering #5,186201,1900 03RD ST
1037688,Munch A Bunch,10293000,400 PARNASSUS AVE
1163799,"SOHOMEI, LLC",8848000,599 MASONIC AVE
1089698,El Tonayense #60,6752000,2355 FOLSOM ST
1037694,Munch A Bunch,13547000,2200 WEBSTER ST
1037691,Munch A Bunch,8137000,1144 LARKIN ST
1163796,"SOHOMEI, LLC",4614000,1580 DAVIDSON AVE
963986,Singh Brothers Ice Cream,13356000,1550 WALLACE AVE
934627,May Catering,19984000,1322 04TH ST
1181513,John's Catering #5,3309000,2157 BRYANT ST
1058991,Ruru Juice LLC,9092000,601 MISSION ST
953001,Wonder Philly,270002,960 04TH ST
1184864,Subs on Hubs,3089000,934 BRANNAN ST
963987,Singh Brothers Ice Cream,5599000,1104 FITZGERALD AVE
1163405,Julie's Hot Dogs,9121000,2365 MISSION ST
1163788,"SOHOMEI, LLC",9094000,690 MISSION ST
959619,"Kabob Trolley, LLC",267001,298 KING ST
934629,May Catering,8234000,1075 LE CONTE AVE
1219753,"Kabob Trolley, LLC",9101000,1133 MISSION ST
1090090,Tacos El Primo,13660000,345 WILLIAMS AVE
963994,Singh Brothers Ice Cream,7223000,1309 INGALLS ST
1174530,CC Acquisition LLC,13060000,560 VALENCIA ST
1242091,Quick Grub,11542000,1 BUSH ST
1037687,Munch A Bunch,784000,2222 17TH ST
953198,"Santana ESG, Inc.",11834000,200 SHOTWELL ST
1181504,John's Catering #5,6745000,2010 HARRISON ST
1163786,"SOHOMEI, LLC",144000,544 02ND ST
1037693,Munch A Bunch,24215000,1525 BRYANT ST
1181502,John's Catering #5,3081000,610 BRANNAN ST
1042438,Ruru Juice LLC,12316000,80 SUTTER ST
963983,Singh Brothers Ice Cream,7492000,3444 JENNINGS ST
1297766,Tacos Lol-Tun,2461000,1610 ARMSTRONG AVE
934626,May Catering,0,Assessors Block /Lot
1089697,El Tonayense #60,6746000,401 TREAT AVE
1163797,"SOHOMEI, LLC",3376000,1570 BURKE AVE
1163801,"SOHOMEI, LLC",5178000,730 ELLIS ST
1163795,"SOHOMEI, LLC",9058000,1240 MINNESOTA ST
1163789,"SOHOMEI, LLC",131000,85 02ND ST
963990,Singh Brothers Ice Cream,7479000,2115 JENNINGS ST
963981,Singh Brothers Ice Cream,7428000,800 JAMESTOWN AVE
1163798,"SOHOMEI, LLC",7033000,501 HOWARD ST
963996,Singh Brothers Ice Cream,7895000,1698 KIRKWOOD AVE
1181500,John's Catering #5,10460000,555 CALIFORNIA ST
1163800,"SOHOMEI, LLC",1177000,2401 22ND ST
963993,Singh Brothers Ice Cream,11783000,1207 SHAFTER AVE
1184865,Subs on Hubs,302000,400 05TH ST
1181508,John's Catering #5,8756101,1601 MARKET ST
1163785,"SOHOMEI, LLC",5073000,1652 EDDY ST
1181507,John's Catering #5,581000,164 14TH ST
1037696,Munch A Bunch,9114000,1850 MISSION ST
1090081,El Tonayanse #4 / #36,6740000,1717 HARRISON ST
963982,Singh Brothers Ice Cream,7819000,1060 KEY AVE
1163790,"SOHOMEI, LLC",12678000,Assessors Block 3902/Lot002
1495094,"Off the Grid Services, LLC",3143000,90 BROADWAY
1535609,Wu Wei LLC dba MoBowl,5875000,900 FRONT ST
1512232,"Chairman SF, LLC",147000,625 02ND ST
1513352,Brazuca Grill,12482000,640 TENNESSEE ST
